;CrimeId;OriginalCrimeTypeName;OffenseDate;CallDateTime;Disposition;Address;City;State;AgencyId;AddressType
0;160903280;ASSAULT / BATTERY;2016-03-30;2016-03-30 18:42:00;REP;100 Block Of Chilton Av;San Francisco;CA;1;PREMISE ADDRESS
1;160912272;HOMELESS COMPLAINT;2016-03-31;2016-03-31 15:31:00;GOA;2300 Block Of Market St;San Francisco;CA;1;PREMISE ADDRESS
2;160912590;SUSP INFO;2016-03-31;2016-03-31 16:49:00;GOA;2300 Block Of Market St;San Francisco;CA;1;PREMISE ADDRESS
3;160912801;REPORT;2016-03-31;2016-03-31 17:38:00;GOA;500 Block Of 7Th St;San Francisco;CA;1;PREMISE ADDRESS
4;160912811;594;2016-03-31;2016-03-31 17:42:00;REP;Beale St/Bryant St;San Francisco;CA;1;INTERSECTION
5;160913003;REF'D;2016-03-31;2016-03-31 18:29:00;GOA;16Th St/Pond St;San Francisco;CA;1;INTERSECTION
6;160913050;HOMELESS COMPLAINT;2016-03-31;2016-03-31 18:43:00;ADV;Berwick Pl/Harrison St;San Francisco;CA;1;INTERSECTION
7;160913056;HOMELESS COMPLAINT;2016-03-31;2016-03-31 18:47:00;HAN;Florida St/Mariposa St;San Francisco;CA;1;INTERSECTION
8;160913078;AGG ASSAULT / ADW DV;2016-03-31;2016-03-31 18:52:00;ND;100 Block Of Genebern Wy;San Francisco;CA;1;PREMISE ADDRESS
9;160913103;ENCAMPMENT;2016-03-31;2016-03-31 18:57:00;ADV;2700 Block Of Folsom St;San Francisco;CA;1;PREMISE ADDRESS
10;160913118;BURGLARY;2016-03-31;2016-03-31 18:59:00;REP;400 Block Of Mission St;San Francisco;CA;1;PREMISE ADDRESS
11;160913148;SUSPICIOUS PERSON;2016-03-31;2016-03-31 19:08:00;GOA;700 Block Of Eddy St;San Francisco;CA;1;PREMISE ADDRESS
12;160913167;IP;2016-03-31;2016-03-31 19:13:00;HAN;1700 Block Of Harrison St;San Francisco;CA;1;COMMON LOCATION
13;160913193;HOMELESS COMPLAINT;2016-03-31;2016-03-31 19:18:00;GOA;1800 Block Of Market St;San Francisco;CA;1;PREMISE ADDRESS
